pathway_id,display_label,thread,thread_order,why_included,included,why_excluded,n_populations_tested,populations_tested,source_collection,n_genes_shared_with_WT_heat_up
Interaction_up,Interaction_up,mouse 39 °C-derived arms,1,"the interaction arm of the same mouse contrast, 6 of 7 genes in the ranked list; drawn so the reader sees the size at which this sweep stops resolving",TRUE,NA,3,CD8|Tcon|Treg,mouse_projection,NA
KO_heat_up,KO_heat_up,mouse 39 °C-derived arms,1,"the cGAS-knockout comparator for the same 39 °C contrast; drawn beside the primary arm because it beats it on pooled FDR in all three populations and shares most of its genes, so the two are close to one observation twice",TRUE,NA,3,CD8|Tcon|Treg,mouse_projection,185
WT_heat_up,WT_heat_up,mouse 39 °C-derived arms,1,"the primary projected up arm, and the reason this compartment ran the sweep at all; drawn so its position can be read against every other set tested",TRUE,NA,3,CD8|Tcon|Treg,mouse_projection,NA
HALLMARK_HYPOXIA,HALLMARK HYPOXIA,"curated, anchor-independent",2,"the curated versioned hypoxia set this compartment has used throughout; the hypoxia half of the question this figure closes, and a panel of the per-cell arm map",TRUE,NA,3,CD8|Tcon|Treg,Hallmark,NA
HSR_core,HSR_core,"curated, anchor-independent",2,"the curated activation-free proteostasis core, the anchor-independent lens any proteostasis reading rests on; a panel of the per-cell arm map, where it colours synovial territory alongside the mouse arms",TRUE,NA,3,CD8|Tcon|Treg,project_frozen,NA
eTreg_up,eTreg_up,derived here from GSE161426,3,"this compartment's own effector-Treg contrast on another cohort, and the third panel of the per-cell arm map; it asks this contrast's own synovial-versus-blood question of different patients, so its position marks what a set built to separate exactly these two tissues reaches in this sweep",TRUE,NA,3,CD8|Tcon|Treg,eTreg_lens,NA
GOBP_CGAS_STING_SIGNALING_PATHWAY,GOBP CGAS STING SIGNALING PATHWAY,cGAS-STING,4,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result",TRUE,NA,3,CD8|Tcon|Treg,GO_BP,NA
GOBP_NEGATIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP NEGATIVE REGULATION OF CGAS STING SIGNALING PATHWAY,cGAS-STING,4,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result",TRUE,NA,3,CD8|Tcon|Treg,GO_BP,NA
GOBP_POSITIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP POSITIVE REGULATION OF CGAS STING SIGNALING PATHWAY,cGAS-STING,4,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result",TRUE,NA,3,CD8|Tcon|Treg,GO_BP,NA
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES,REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES,cGAS-STING,4,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result",TRUE,NA,3,CD8|Tcon|Treg,Reactome,NA
